concept,stratum,semantic_type,selection_status,source_feasibility,storage_slug,source,source_slot,candidate_filename,accepted_filename,candidate_relpath,accepted_relpath,candidate_record_id,candidate_source_url,acquisition_method,acquisition_query,source_class_label,source_class_id,proxy_used,clip_score,review_status,rejection_reason,diversity_notes,license_or_terms,curator_initials,reviewed_at,notes
wolf,animals,entity,planned_core,medium,wolf,imagenet,1,wolf_imagenet_candidate_001.jpg,wolf_imagenet_01.jpg,data/scale250_fresh_candidates/imagenet/wolf/wolf_imagenet_candidate_001.jpg,data/images_250_fresh/wolf/wolf_imagenet_01.jpg,imagenet_val_3850,mrm8488/ImageNet1K-val,imagenet_label_match,wolf spider; timber wolf; white wolf; red wolf,wolf spider,77,false,0.2074,rolled_back_invalid_semantics,imagenet_semantic_mismatch,,,,2026-03-14 13:47:58,Rolled back on 2026-03-14 17:10:26 after WordNet semantic audit.
wolf,animals,entity,planned_core,medium,wolf,imagenet,2,wolf_imagenet_candidate_002.jpg,wolf_imagenet_02.jpg,data/scale250_fresh_candidates/imagenet/wolf/wolf_imagenet_candidate_002.jpg,data/images_250_fresh/wolf/wolf_imagenet_02.jpg,imagenet_val_3851,mrm8488/ImageNet1K-val,imagenet_label_match,wolf spider; timber wolf; white wolf; red wolf,wolf spider,77,false,0.2021,rolled_back_invalid_semantics,imagenet_semantic_mismatch,,,,2026-03-14 13:47:58,Rolled back on 2026-03-14 17:10:26 after WordNet semantic audit.
wolf,animals,entity,planned_core,medium,wolf,imagenet,3,wolf_imagenet_candidate_003.jpg,wolf_imagenet_03.jpg,data/scale250_fresh_candidates/imagenet/wolf/wolf_imagenet_candidate_003.jpg,data/images_250_fresh/wolf/wolf_imagenet_03.jpg,imagenet_val_3852,mrm8488/ImageNet1K-val,imagenet_label_match,wolf spider; timber wolf; white wolf; red wolf,wolf spider,77,false,0.1898,rolled_back_invalid_semantics,imagenet_semantic_mismatch,,,,2026-03-14 13:47:58,Rolled back on 2026-03-14 17:10:26 after WordNet semantic audit.
wolf,animals,entity,planned_core,medium,wolf,imagenet,4,wolf_imagenet_candidate_004.jpg,wolf_imagenet_04.jpg,data/scale250_fresh_candidates/imagenet/wolf/wolf_imagenet_candidate_004.jpg,data/images_250_fresh/wolf/wolf_imagenet_04.jpg,imagenet_val_3853,mrm8488/ImageNet1K-val,imagenet_label_match,wolf spider; timber wolf; white wolf; red wolf,wolf spider,77,false,0.1929,rolled_back_invalid_semantics,imagenet_semantic_mismatch,,,,2026-03-14 13:47:58,Rolled back on 2026-03-14 17:10:26 after WordNet semantic audit.
wolf,animals,entity,planned_core,medium,wolf,imagenet,5,wolf_imagenet_candidate_005.jpg,wolf_imagenet_05.jpg,data/scale250_fresh_candidates/imagenet/wolf/wolf_imagenet_candidate_005.jpg,data/images_250_fresh/wolf/wolf_imagenet_05.jpg,imagenet_val_3854,mrm8488/ImageNet1K-val,imagenet_label_match,wolf spider; timber wolf; white wolf; red wolf,wolf spider,77,false,0.1956,rolled_back_invalid_semantics,imagenet_semantic_mismatch,,,,2026-03-14 13:47:58,Rolled back on 2026-03-14 17:10:26 after WordNet semantic audit.
wolf,animals,entity,planned_core,medium,wolf,openimages,1,wolf_openimages_candidate_001.jpg,wolf_openimages_01.jpg,data/scale250_fresh_candidates/openimages/wolf/wolf_openimages_candidate_001.jpg,data/images_250_fresh/wolf/wolf_openimages_01.jpg,0007cebe1b2ba653,/Users/hi/fiftyone/open-images-v7/validation/data/0007cebe1b2ba653.jpg,openimages_detection_proxy,Dog,Dog,Dog,true,0.2441,accepted_auto,,,,,2026-03-14 13:48:01,
wolf,animals,entity,planned_core,medium,wolf,openimages,2,wolf_openimages_candidate_002.jpg,wolf_openimages_02.jpg,data/scale250_fresh_candidates/openimages/wolf/wolf_openimages_candidate_002.jpg,data/images_250_fresh/wolf/wolf_openimages_02.jpg,0007d6cf88afaa4a,/Users/hi/fiftyone/open-images-v7/validation/data/0007d6cf88afaa4a.jpg,openimages_detection_proxy,Dog,Dog,Dog,true,0.2555,accepted_auto,,,,,2026-03-14 13:48:01,
wolf,animals,entity,planned_core,medium,wolf,openimages,3,wolf_openimages_candidate_003.jpg,wolf_openimages_03.jpg,data/scale250_fresh_candidates/openimages/wolf/wolf_openimages_candidate_003.jpg,data/images_250_fresh/wolf/wolf_openimages_03.jpg,0008e425fb49a2bf,/Users/hi/fiftyone/open-images-v7/validation/data/0008e425fb49a2bf.jpg,openimages_detection_proxy,Dog,Dog,Dog,true,0.2544,accepted_auto,,,,,2026-03-14 13:48:01,
wolf,animals,entity,planned_core,medium,wolf,openimages,4,wolf_openimages_candidate_004.jpg,wolf_openimages_04.jpg,data/scale250_fresh_candidates/openimages/wolf/wolf_openimages_candidate_004.jpg,data/images_250_fresh/wolf/wolf_openimages_04.jpg,000c4d66ce89aa69,/Users/hi/fiftyone/open-images-v7/validation/data/000c4d66ce89aa69.jpg,openimages_detection_proxy,Dog,Dog,Dog,true,0.2317,accepted_auto,,,,,2026-03-14 13:48:01,
wolf,animals,entity,planned_core,medium,wolf,openimages,5,wolf_openimages_candidate_005.jpg,wolf_openimages_05.jpg,data/scale250_fresh_candidates/openimages/wolf/wolf_openimages_candidate_005.jpg,data/images_250_fresh/wolf/wolf_openimages_05.jpg,0022d0ab1e1347ab,/Users/hi/fiftyone/open-images-v7/validation/data/0022d0ab1e1347ab.jpg,openimages_detection_proxy,Dog,Dog,Dog,true,0.2198,accepted_auto,,,,,2026-03-14 13:48:01,
